f5	x	y	descape240	rghasp240	rghsq	elksum240	elksq	slope240	slopesq	forest240	elev240	edgeden240	road240
1	554146.4802	4990049	4.6875	0.8722926	0.7608944	3183.355	1.01E+07	7.90625	62.50879	54	2758.953	0.007209109	0
1	554386.4802	4990049	0	0.7554867	0.5707602	2331.105	5.43E+06	12.29688	151.2131	64	2727.25	0.000942495	0
1	554626.4802	4990049	0	0.7881982	0.6212564	2217.89	4.92E+06	17.09375	292.1963	64	2667.203	0	0
1	554866.4802	4990049	0	0.9107354	0.829439	2802.755	7.86E+06	13.71875	188.2041	64	2612.859	0	0
1	555106.4802	4990049	0	0.8052555	0.6484364	2718.511	7.39E+06	15.76563	248.5549	64	2564.734	0	0
1	555346.4802	4990049	0	0.5802869	0.3367329	2196.047	4.82E+06	21.17188	448.2483	64	2496.875	0	0
1	555586.4802	4990049	0	0.652465	0.4257106	2975.764	8.86E+06	15.6875	246.0977	64	2418.156	0	0
1	555826.4802	4990049	0	0.4413479	0.1947879	3326.013	1.11E+07	9.046875	81.84595	64	2375.219	0	0
1	556066.4802	4990049	0	0.7192102	0.5172633	3366.365	1.13E+07	8.046875	64.7522	64	2344.547	0	0
1	556306.4802	4990049	1.875	0.7732444	0.5979069	5987.232	3.58E+07	6.421875	41.24048	60	2334.891	0.003492044	0
1	556546.4802	4990049	0	0.6078663	0.3695015	6651.305	4.42E+07	6.28125	39.4541	64	2354.906	0.007222375	0
1	556786.4802	4990049	0	0.789287	0.6229739	6010.275	3.61E+07	5.859375	34.33228	64	2366.297	0.005288647	0
1	557026.4802	4990049	26.5188	0.8966348	0.803954	7921.812	6.28E+07	8.5625	73.31641	36	2381.25	0.004535062	0
1	557266.4802	4990049	43.01966	1.067717	1.14002	9409.929	8.85E+07	13.32813	177.6389	16	2404.219	0.007192763	0
1	557506.4802	4990049	0	1.047337	1.096916	4876.125	2.38E+07	12.4375	154.6914	64	2451.391	0.008617365	0
1	557746.4802	4990049	0	0.8950341	0.8010861	3377.038	1.14E+07	17.34375	300.8057	64	2498.953	0.005461977	0
1	557986.4802	4990049	0	0.824569	0.679914	3933.476	1.55E+07	12.82813	164.5608	64	2554.344	0.000299103	0
1	510946.4802	4989809	0	1.041759	1.085261	2831.053	8.01E+06	11.51563	132.6096	64	2077.203	2.22E-05	53.125
1	511186.4802	4989809	0	0.9378682	0.8795967	3316.885	1.10E+07	7.15625	51.21191	64	2102.375	0	50.625
1	511426.4802	4989809	0	1.031708	1.064421	3117.621	9.72E+06	10.07813	101.5686	64	2125.219	0	26.67188
1	511666.4802	4989809	0	0.988719	0.9775653	2061.887	4.25E+06	27.0625	732.3789	64	2199.688	0	4.625
