f111	x	y	elev240	slope240	forest240	dtree240	dhigh240	descape240	rghasp240	amuse	elkuse	wolfuse	road240
1	519303.78694287	5000673.9525786	2026.359	13.64063	64	0	67.08953	0	0.9924479	0.8893993	4657.319	0	0
1	519543.78694287	5000673.9525786	2086.906	24.25	26	44.25137	4.6875	4.6875	1.097344	0.960207	4790.728	0	0
1	519783.78694287	5000673.9525786	2069.438	21.57813	23	46.74177	55.52603	46.74177	0.8877986	1.013224	4739.003	0	0
1	520023.78694287	5000673.9525786	2047.797	13.96875	53	6.786895	116.6983	6.786895	0.9847769	1.036101	5082.535	0	0
1	520263.78694287	5000673.9525786	2054.5	16.1875	56	3.944163	74.77141	3.944163	0.9378345	1.048881	5270.846	0	0
1	520503.78694287	5000673.9525786	2078.109	14.0625	56	3.75	180.8725	3.75	0.9700857	1.034151	5616.972	0	0
1	520743.78694287	5000673.9525786	2107.875	13.07813	64	0	207.6156	0	1.062475	1.009118	6086.212	0	0
1	520983.78694287	5000673.9525786	2140	15.14063	64	0	233.9474	0	0.8365728	0.9505097	6601.512	0	0
1	521223.78694287	5000673.9525786	2164.047	15.40625	64	0	149.9988	0	0.7300242	0.8704869	6850.745	0	0
1	521463.78694287	5000673.9525786	2194.578	16.03125	64	0	62.92191	0	0.9508868	0.8080515	6972.778	0	0
1	521703.78694287	5000673.9525786	2264.453	23.03125	64	0	12.10707	0	1.020034	0.7056293	7356.705	0	0
1	521943.78694287	5000673.9525786	2310.375	20.82813	64	0	84.575	0	1.10993	0.59866	7777.752	0	0
1	522183.78694287	5000673.9525786	2302.828	15.51563	64	0	109.7908	0	1.087226	0.5279375	8562.056	0	0
1	522423.78694287	5000673.9525786	2337.469	21.25	64	0	25.85596	0	1.028882	0.4267148	8153.069	0	0
1	522663.78694287	5000673.9525786	2448.141	29.45313	64	0	2.34375	0	1.223512	0.3349509	6954.959	0	0
1	522903.78694287	5000673.9525786	2476.234	31.25	64	0	1.40625	0	1.339186	0.2804037	7032.866	0	0
1	523143.78694287	5000673.9525786	2527.703	28.28125	64	0	3.75	0	1.286966	0.2095553	7647.082	0	0
1	523383.78694287	5000673.9525786	2572.516	21.78125	64	0	6.756662	0	1.07775	0.1520268	8837.917	0	0
1	523623.78694287	5000673.9525786	2621.984	25.23438	63	0.46875	5.819162	0.46875	1.158551	0.1206748	9661.332	0	0
1	523863.78694287	5000673.9525786	2697.625	29.70313	45	9.957488	5.625	5.625	1.126531	0.0832938	10285.36	0	0
1	524103.78694287	5000673.9525786	2789.266	28.9375	38	16.30278	11.16957	11.16957	1.078138	0.05573944	10325.12	0	0
1	524343.78694287	5000673.9525786	2847.719	25.875	33	23.14295	7.03125	7.03125	1.238584	0.04194888	10891.25	0	0
1	524583.78694287	5000673.9525786	2745.438	30.625	30	28.52542	33.04363	28.52542	1.135298	0.02669439	12283.91	0	0
1	524823.78694287	5000673.9525786	2691.313	13.85938	48	10.97541	104.9262	10.97541	0.9065576	0.0164682	11398.46	0	0
1	525063.78694287	5000673.9525786	2749.406	25.65625	22	31.44675	7.96875	7.96875	1.258369	0.01172866	15760.06	0	0
1	525303.78694287	5000673.9525786	2740.672	16.8125	61	1.40625	160.4138	1.40625	0.9874371	0.006883385	16721.21	0	0
1	525543.78694287	5000673.9525786	2726.016	14.3125	64	0	244.9822	0	0.8628435	0.003918176	19590.81	0	0
1	525783.78694287	5000673.9525786	2724.188	12.39063	64	0	57.51348	0	0.943741	0.002635998	19897.66	0	0
1	526023.78694287	5000673.9525786	2795.75	18.04688	45	9.763325	81.46508	9.763325	0.9970793	0.001465134	19298.62	0	0
1	526263.78694287	5000673.9525786	2865.516	20	36	26.20163	97.95925	26.20163	1.125779	0.0007993974	19738.44	0	0
1	526503.78694287	5000673.9525786	2859.141	12.5625	0	226.357	231.8799	226.357	0.8810255	0.0005796177	19415.49	0	0
1	526743.78694287	5000673.9525786	2848.094	14.35938	0	412.3478	115.1021	115.1021	1.023539	0.0004120235	19075.56	0	0
1	526983.78694287	5000673.9525786	2837.609	12.46875	0	420.295	192.4306	192.4306	0.9598711	0.0003844624	18434.12	0	0
1	527223.78694287	5000673.9525786	2838.406	9.25	0	432.4818	141.5646	141.5646	0.9969109	0.000397494	17801.27	0	0
1	527463.78694287	5000673.9525786	2862.063	18.25	0	522.8239	76.51712	76.51712	1.083448	0.0004430369	17742.16	0	0
1	527703.78694287	5000673.9525786	2884.734	15.89063	0	530.067	81.76312	81.76312	0.9007992	0.0004914407	14706.85	0	0
1	527943.78694287	5000673.9525786	2954.75	31.84375	0	526.5172	0	0	0.9844042	0.0005365719	12093.57	0	0
1	528183.78694287	5000673.9525786	3056.984	29.71875	0	534.7128	2.8125	2.8125	1.135073	0.0005940217	8628.99	0	0
1	528423.78694287	5000673.9525786	2981.359	30.14063	0	532.4193	3.75	3.75	1.074351	0.0006343133	9010.035	0	0
1	528663.78694287	5000673.9525786	2868.078	17.96875	0	321.3879	129.0683	129.0683	0.9431192	0.0006495276	12143.21	0	0
1	528903.78694287	5000673.9525786	2837.641	12.28125	8	93.20837	104.4424	93.20837	0.9663613	0.0006530968	14297.21	0	0
1	529143.78694287	5000673.9525786	2838.703	22.96875	39	15.99796	47.26958	15.99796	0.979463	0.0006334095	15555.2	0	0
1	529383.78694287	5000673.9525786	2833.453	24.875	16	63.65094	50.92538	50.92538	0.93279	0.0006082968	17072.96	0	0
1	529623.78694287	5000673.9525786	2800.922	15.90625	4	89.95019	100.8144	89.95019	0.9350328	0.0005555216	17242.23	0	0
1	529863.78694287	5000673.9525786	2814.75	18.65625	21	39.22943	4.717732	4.717732	1.202714	0.0004893432	17958.17	0	0
1	530103.78694287	5000673.9525786	2775.906	32.03125	13	64.06838	10.03791	10.03791	1.304113	0.000440739	18059.1	0	0
1	530343.78694287	5000673.9525786	2670.891	13.32813	50	10.06814	184.7965	10.06814	0.9876167	0.0003655717	18192.19	0	0
1	530583.78694287	5000673.9525786	2633.797	12.20313	47	10.23207	420.0391	10.23207	0.9507319	0.0002924764	20472.99	0	0
1	530823.78694287	5000673.9525786	2615.469	9.5	47	9.019988	530.114	9.019988	0.9046987	0.0002470562	20307.54	0	0
1	531063.78694287	5000673.9525786	2652.297	11.40625	64	0	322.8883	0	0.9243759	0.0001861197	20674	0	0
1	531303.78694287	5000673.9525786	2706.719	13.4375	64	0	135.995	0	0.8439857	0.0001671786	19719.49	0	0
1	531543.78694287	5000673.9525786	2768.563	17.76563	64	0	42.7352	0	0.7959007	0.0001540169	18676.33	0	0
1	531783.78694287	5000673.9525786	2848.766	23.59375	43	17.56814	14.72541	14.72541	0.9836162	0.0001541996	16731.86	0	0
1	532023.78694287	5000673.9525786	2805.391	18.10938	0	138.114	51.2955	51.2955	1.023063	0.0001830226	15815.17	0	0
1	532263.78694287	5000673.9525786	2729.953	21.64063	5	90.40911	46.93892	46.93892	0.9676275	0.0002212945	17005.32	0	0
1	532503.78694287	5000673.9525786	2708.859	19.51563	39	16.9657	27.11917	16.9657	1.034025	0.0003128371	15790.11	0	0
1	532743.78694287	5000673.9525786	2790.969	24.85938	54	5.075825	4.412912	4.412912	1.079198	0.0004391634	17700.21	0	0
1	532983.78694287	5000673.9525786	2911.391	25.35938	18	52.85999	30.34913	30.34913	1.212855	0.0005669894	15549.33	0	0
1	533223.78694287	5000673.9525786	2966.266	23.23438	0	178.6341	17.35402	17.35402	1.204418	0.0008071184	14442.32	0	0
1	533463.78694287	5000673.9525786	3024.016	25.5	0	283.0916	59.24398	59.24398	1.299028	0.001108222	12750.7	0	0
1	533703.78694287	5000673.9525786	2984.531	22.4375	0	332.4836	29.29717	29.29717	1.177813	0.001341876	12438.95	0	0
1	533943.78694287	5000673.9525786	2915.953	35.17188	0	223.7421	4.138325	4.138325	1.371202	0.001734924	11766.97	0	0
1	534183.78694287	5000673.9525786	2821.516	28.35938	22	44.74915	9.763325	9.763325	1.221478	0.002163592	11660.24	0	0
1	534423.78694287	5000673.9525786	2725.266	20.875	62	0.9375	43.36149	0.9375	1.106014	0.002456961	10361.79	0	0
1	534663.78694287	5000673.9525786	2663.953	21.23438	64	0	24.43855	0	0.974358	0.002885172	11346.74	0	0
1	534903.78694287	5000673.9525786	2592.531	21.09375	64	0	73.14265	0	1.039363	0.003267927	12229.33	0	0
1	535143.78694287	5000673.9525786	2523.656	13.96875	64	0	229.7228	0	0.8906542	0.003480424	13828.45	0	0
