"x","y","elkuse","Prob","CumProb"
532263.78694287,4984593.9525786,0.0358152775648135,0.00141213931781689,0.307028331330529
531063.78694287,4982193.9525786,0.195583932550067,0.00140891055968993,0.308437241890219
528903.78694287,4983633.9525786,0.075289132448366,0.00139381482929323,0.309831056719512
528903.78694287,4984353.9525786,0.0251872579908854,0.00139034706916509,0.311221403788677
531783.78694287,4982673.9525786,0.191329529225164,0.00139000340883299,0.312611407197510
530103.78694287,4982193.9525786,0.182564762817226,0.00138547250528642,0.313996879702797
532023.78694287,4984833.9525786,0.047016303583069,0.00138425617559565,0.315381135878393
529143.78694287,4984833.9525786,0.00845418346958566,0.00138227565228392,0.316763411530676
532503.78694287,4983153.9525786,0.0798233598863377,0.00137369188820484,0.318137103418881
532503.78694287,4984353.9525786,0.0296357774711881,0.00137256069951174,0.319509664118393
532503.78694287,4983393.9525786,0.0841747921860687,0.00137203807264781,0.320881702191041
531303.78694287,4985313.9525786,0.0412282371161492,0.00135833967554260,0.322240041866583
529863.78694287,4985073.9525786,0.0737334384323405,0.00135226502769450,0.323592306894278
532263.78694287,4982673.9525786,0.108942762191578,0.00134743885863285,0.324939745752911
