x	y	d2et	slope	elevm
599114.999	5131912.454	220	4	686
599139.999	5131912.454	220	4	684
599164.999	5131912.454	224	3	683
599189.999	5131912.454	228	2	682
599214.999	5131912.454	238	12	684
599239.999	5131912.454	246	15	693
599264.999	5131912.454	224	10	698
599289.999	5131912.454	204	11	701
599314.999	5131912.454	175	14	706
599339.999	5131912.454	155	14	711
599364.999	5131912.454	126	16	715
599389.999	5131912.454	108	18	721
599414.999	5131912.454	81	19	725
599439.999	5131912.454	64	21	729
599464.999	5131912.454	42	25	735
599489.999	5131912.454	28	29	747
599514.999	5131912.454	10	32	758
599539.999	5131912.454	20	33	772
599564.999	5131912.454	22	32	784
599589.999	5131912.454	36	30	794
599614.999	5131912.454	32	23	800
599639.999	5131912.454	20	23	803
599664.999	5131912.454	10	29	819
599689.999	5131912.454	30	30	834
599714.999	5131912.454	28	31	849
599739.999	5131912.454	20	32	865
599764.999	5131912.454	28	33	880
599789.999	5131912.454	10	34	896
599814.999	5131912.454	14	33	913
599839.999	5131912.454	32	32	928
599864.999	5131912.454	42	31	943
599889.999	5131912.454	32	30	957
599914.999	5131912.454	36	30	970
599939.999	5131912.454	50	29	985
599964.999	5131912.454	41	23	999
599989.999	5131912.454	22	23	1004
593614.999	5131887.454	98	23	925
593639.999	5131887.454	108	23	934
593664.999	5131887.454	122	24	943
593689.999	5131887.454	120	25	951
593714.999	5131887.454	90	25	960
593739.999	5131887.454	70	24	969
593764.999	5131887.454	40	26	978
593789.999	5131887.454	20	30	988
593814.999	5131887.454	10	30	1000
593839.999	5131887.454	22	28	1009
593864.999	5131887.454	51	28	1018
593889.999	5131887.454	60	28	1029
593914.999	5131887.454	67	27	1041
593939.999	5131887.454	50	29	1051
593964.999	5131887.454	28	32	1062
593989.999	5131887.454	10	34	1073
594014.999	5131887.454	0	35	1087
594039.999	5131887.454	0	34	1100
594064.999	5131887.454	10	33	1111
594089.999	5131887.454	0	34	1123
594114.999	5131887.454	14	31	1137
594139.999	5131887.454	0	32	1142
594164.999	5131887.454	0	36	1136
