x	y	d2et	slope	elevm
608049.891	5152199.420	0	44	752
608074.891	5152199.420	0	46	772
608099.891	5152199.420	0	43	788
608124.891	5152199.420	0	38	798
608149.891	5152199.420	10	34	802
608174.891	5152199.420	10	32	804
608199.891	5152199.420	10	32	805
608224.891	5152199.420	10	35	802
608249.891	5152199.420	0	37	797
608274.891	5152199.420	10	32	786
608299.891	5152199.420	22	11	778
608324.891	5152199.420	10	21	783
608349.891	5152199.420	0	32	797
608374.891	5152199.420	10	34	809
608399.891	5152199.420	0	33	816
608424.891	5152199.420	10	32	825
608449.891	5152199.420	10	32	844
608474.891	5152199.420	0	34	857
608499.891	5152199.420	0	36	872
608524.891	5152199.420	0	36	885
608549.891	5152199.420	0	34	896
608574.891	5152199.420	10	33	897
608599.891	5152199.420	0	36	918
608624.891	5152199.420	20	31	936
608649.891	5152199.420	32	29	947
608674.891	5152199.420	32	30	958
608699.891	5152199.420	42	30	969
608724.891	5152199.420	64	30	980
608749.891	5152199.420	78	28	989
608774.891	5152199.420	73	29	997
608799.891	5152199.420	70	30	1007
608824.891	5152199.420	76	30	1017
608849.891	5152199.420	86	30	1026
608874.891	5152199.420	100	30	1036
608899.891	5152199.420	98	29	1043
608924.891	5152199.420	86	30	1051
608949.891	5152199.420	76	31	1060
608974.891	5152199.420	67	31	1069
608999.891	5152199.420	61	30	1078
604099.891	5152174.420	14	34	1452
604124.891	5152174.420	0	35	1436
604149.891	5152174.420	14	30	1421
604174.891	5152174.420	0	38	1426
604199.891	5152174.420	0	42	1427
604224.891	5152174.420	0	43	1426
604249.891	5152174.420	0	42	1421
604274.891	5152174.420	0	40	1414
604299.891	5152174.420	0	37	1406
604324.891	5152174.420	14	35	1399
604349.891	5152174.420	0	35	1388
604374.891	5152174.420	20	31	1375
604399.891	5152174.420	40	29	1373
604424.891	5152174.420	45	29	1372
604449.891	5152174.420	57	28	1370
604474.891	5152174.420	72	29	1366
604499.891	5152174.420	78	30	1358
604524.891	5152174.420	63	29	1350
604549.891	5152174.420	58	27	1340
604574.891	5152174.420	50	27	1332
604599.891	5152174.420	30	31	1321
604624.891	5152174.420	0	35	1307
604649.891	5152174.420	0	37	1290
604674.891	5152174.420	0	36	1271
604699.891	5152174.420	10	35	1253
604724.891	5152174.420	0	34	1238
604749.891	5152174.420	10	34	1232
604774.891	5152174.420	22	31	1229
604799.891	5152174.420	36	30	1225
604824.891	5152174.420	63	30	1219
604849.891	5152174.420	82	30	1209
604874.891	5152174.420	80	29	1199
604899.891	5152174.420	80	30	1189
604924.891	5152174.420	71	31	1177
604949.891	5152174.420	51	31	1165
604974.891	5152174.420	22	31	1153
604999.891	5152174.420	10	36	1140
605024.891	5152174.420	0	36	1121
605049.891	5152174.420	20	33	1107
605074.891	5152174.420	0	36	1096
605099.891	5152174.420	0	36	1079
605124.891	5152174.420	20	33	1068
605149.891	5152174.420	36	31	1057
605174.891	5152174.420	40	31	1046
605199.891	5152174.420	20	32	1034
605224.891	5152174.420	0	34	1020
605249.891	5152174.420	10	34	1006
605274.891	5152174.420	10	33	991
605299.891	5152174.420	22	28	978
605324.891	5152174.420	42	22	969
605349.891	5152174.420	58	19	962
605374.891	5152174.420	85	18	956
605399.891	5152174.420	104	17	951
605424.891	5152174.420	128	17	946
605449.891	5152174.420	142	18	942
605474.891	5152174.420	120	18	937
605499.891	5152174.420	106	18	933
605524.891	5152174.420	85	19	929
605549.891	5152174.420	72	19	924
605574.891	5152174.420	61	20	921
605599.891	5152174.420	54	24	916
605624.891	5152174.420	36	27	910
605649.891	5152174.420	22	32	903
605674.891	5152174.420	0	37	894
605699.891	5152174.420	0	40	883
605724.891	5152174.420	0	40	871
605749.891	5152174.420	0	36	859
605774.891	5152174.420	14	32	851
605799.891	5152174.420	14	33	844
605824.891	5152174.420	0	34	832
605849.891	5152174.420	0	27	818
605874.891	5152174.420	22	8	811
605899.891	5152174.420	10	21	814
605924.891	5152174.420	0	30	821
605949.891	5152174.420	20	31	829
605974.891	5152174.420	22	32	834
605999.891	5152174.420	10	33	838
606024.891	5152174.420	10	29	842
606049.891	5152174.420	14	20	847
606074.891	5152174.420	41	19	857
606099.891	5152174.420	61	20	867
606124.891	5152174.420	91	21	877
606149.891	5152174.420	76	19	887
606174.891	5152174.420	50	15	893
606199.891	5152174.420	32	20	898
606224.891	5152174.420	10	30	908
606249.891	5152174.420	0	33	923
606274.891	5152174.420	10	31	935
606299.891	5152174.420	10	30	945
606324.891	5152174.420	28	30	956
606349.891	5152174.420	36	31	967
606374.891	5152174.420	50	32	980
606399.891	5152174.420	54	32	994
606424.891	5152174.420	71	31	1006
606449.891	5152174.420	85	30	1019
606474.891	5152174.420	108	27	1030
606499.891	5152174.420	121	24	1041
606524.891	5152174.420	136	20	1049
606549.891	5152174.420	149	17	1055
606574.891	5152174.420	163	15	1059
606599.891	5152174.420	143	13	1062
606624.891	5152174.420	114	13	1062
606649.891	5152174.420	95	13	1059
606674.891	5152174.420	67	13	1055
606699.891	5152174.420	50	14	1051
606724.891	5152174.420	32	18	1045
606749.891	5152174.420	22	27	1043
606774.891	5152174.420	10	34	1045
606799.891	5152174.420	10	34	1047
606824.891	5152174.420	20	31	1047
606849.891	5152174.420	28	29	1045
606874.891	5152174.420	32	28	1042
606899.891	5152174.420	30	31	1036
606924.891	5152174.420	32	32	1028
606949.891	5152174.420	22	33	1020
606974.891	5152174.420	0	35	1011
606999.891	5152174.420	0	39	999
607024.891	5152174.420	0	41	984
607049.891	5152174.420	0	42	970
607074.891	5152174.420	0	43	953
607099.891	5152174.420	0	43	937
607124.891	5152174.420	0	41	919
607149.891	5152174.420	10	37	905
607174.891	5152174.420	0	34	893
607199.891	5152174.420	10	34	881
607224.891	5152174.420	0	37	870
607249.891	5152174.420	0	41	855
607274.891	5152174.420	0	43	838
607299.891	5152174.420	0	42	823
607324.891	5152174.420	0	39	809
607349.891	5152174.420	10	34	793
607374.891	5152174.420	10	32	784
607399.891	5152174.420	0	39	772
607424.891	5152174.420	0	44	748
607449.891	5152174.420	0	42	732
607474.891	5152174.420	0	36	722
607499.891	5152174.420	10	31	712
607524.891	5152174.420	40	27	702
607549.891	5152174.420	60	22	696
607574.891	5152174.420	90	17	692
607599.891	5152174.420	90	9	692
607624.891	5152174.420	95	1	692
607649.891	5152174.420	103	6	694
607674.891	5152174.420	120	8	696
607699.891	5152174.420	135	9	699
607724.891	5152174.420	158	10	701
607749.891	5152174.420	175	10	704
607774.891	5152174.420	187	8	706
607799.891	5152174.420	171	7	707
607824.891	5152174.420	143	7	708
607849.891	5152174.420	125	8	708
607874.891	5152174.420	100	9	709
607899.891	5152174.420	85	9	711
607924.891	5152174.420	64	10	716
607949.891	5152174.420	50	12	720
607974.891	5152174.420	28	22	725
607999.891	5152174.420	14	35	733
608024.891	5152174.420	0	43	748
608049.891	5152174.420	0	47	768
608074.891	5152174.420	0	43	792
608099.891	5152174.420	0	32	805
608124.891	5152174.420	20	25	810
608149.891	5152174.420	22	23	813
608174.891	5152174.420	30	23	815
608199.891	5152174.420	30	26	817
608224.891	5152174.420	28	29	817
608249.891	5152174.420	10	34	812
608274.891	5152174.420	0	36	800
608299.891	5152174.420	14	28	787
608324.891	5152174.420	22	6	781
608349.891	5152174.420	10	17	786
608374.891	5152174.420	0	26	791
608399.891	5152174.420	10	31	805
608424.891	5152174.420	0	33	825
608449.891	5152174.420	14	29	840
608474.891	5152174.420	10	28	848
608499.891	5152174.420	0	33	860
608524.891	5152174.420	14	33	873
608549.891	5152174.420	10	31	879
608574.891	5152174.420	0	35	888
608599.891	5152174.420	0	39	912
608624.891	5152174.420	14	33	928
608649.891	5152174.420	32	30	938
608674.891	5152174.420	51	30	949
608699.891	5152174.420	58	30	960
608724.891	5152174.420	78	29	969
608749.891	5152174.420	92	28	979
608774.891	5152174.420	92	28	987
608799.891	5152174.420	90	29	997
608824.891	5152174.420	95	29	1006
608849.891	5152174.420	103	29	1016
608874.891	5152174.420	120	28	1025
608899.891	5152174.420	117	26	1032
608924.891	5152174.420	103	28	1039
608949.891	5152174.420	95	30	1048
608974.891	5152174.420	85	31	1057
608999.891	5152174.420	81	30	1066
604099.891	5152149.420	0	34	1439
604124.891	5152149.420	0	36	1426
604149.891	5152149.420	10	33	1410
604174.891	5152149.420	0	35	1403
604199.891	5152149.420	0	40	1402
604224.891	5152149.420	0	40	1402
604249.891	5152149.420	0	39	1399
604274.891	5152149.420	0	37	1396
604299.891	5152149.420	0	36	1391
604324.891	5152149.420	0	36	1383
604349.891	5152149.420	0	37	1374
604374.891	5152149.420	10	33	1362
